大科目类别,子科目名称,题目类型,题目编号,题目文本,题目答案的汉字长度,题目prompt
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,0,封闭式提问,32,以下是《技能操作》（心理咨询师考试）科目的术语：封闭式提问，请解释其含义，把回复控制在32个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,1,逻辑推理,45,以下是《技能操作》（心理咨询师考试）科目的术语：逻辑推理，请解释其含义，把回复控制在45个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,2,治疗联盟,92,以下是《技能操作》（心理咨询师考试）科目的术语：治疗联盟，请解释其含义，把回复控制在92个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,3,共情,111,以下是《技能操作》（心理咨询师考试）科目的术语：共情，请解释其含义，把回复控制在111个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,4,有条件的积极关注,66,以下是《技能操作》（心理咨询师考试）科目的术语：有条件的积极关注，请解释其含义，把回复控制在66个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,5,无条件积极关注,38,以下是《技能操作》（心理咨询师考试）科目的术语：无条件积极关注，请解释其含义，把回复控制在38个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,6,尊重,74,以下是《技能操作》（心理咨询师考试）科目的术语：尊重，请解释其含义，把回复控制在74个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,7,温暖,101,以下是《技能操作》（心理咨询师考试）科目的术语：温暖，请解释其含义，把回复控制在101个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,8,真诚,130,以下是《技能操作》（心理咨询师考试）科目的术语：真诚，请解释其含义，把回复控制在130个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,9,结构性会谈,37,以下是《技能操作》（心理咨询师考试）科目的术语：结构性会谈，请解释其含义，把回复控制在37个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,10,非结构式会谈,65,以下是《技能操作》（心理咨询师考试）科目的术语：非结构式会谈，请解释其含义，把回复控制在65个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,11,半结构会谈,42,以下是《技能操作》（心理咨询师考试）科目的术语：半结构会谈，请解释其含义，把回复控制在42个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,12,收集资料式会谈,80,以下是《技能操作》（心理咨询师考试）科目的术语：收集资料式会谈，请解释其含义，把回复控制在80个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,13,诊断（或评估）式会谈,107,以下是《技能操作》（心理咨询师考试）科目的术语：诊断（或评估）式会谈，请解释其含义，把回复控制在107个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,14,心理治疗式会谈,77,以下是《技能操作》（心理咨询师考试）科目的术语：心理治疗式会谈，请解释其含义，把回复控制在77个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,15,倾听,93,以下是《技能操作》（心理咨询师考试）科目的术语：倾听，请解释其含义，把回复控制在93个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,16,开放式提问,46,以下是《技能操作》（心理咨询师考试）科目的术语：开放式提问，请解释其含义，把回复控制在46个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,17,鼓励,23,以下是《技能操作》（心理咨询师考试）科目的术语：鼓励，请解释其含义，把回复控制在23个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,18,重复,82,以下是《技能操作》（心理咨询师考试）科目的术语：重复，请解释其含义，把回复控制在82个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,19,情感反应,69,以下是《技能操作》（心理咨询师考试）科目的术语：情感反应，请解释其含义，把回复控制在69个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,20,内容反应,63,以下是《技能操作》（心理咨询师考试）科目的术语：内容反应，请解释其含义，把回复控制在63个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,21,参与性概述,92,以下是《技能操作》（心理咨询师考试）科目的术语：参与性概述，请解释其含义，把回复控制在92个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,22,解释,164,以下是《技能操作》（心理咨询师考试）科目的术语：解释，请解释其含义，把回复控制在164个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,23,指导,48,以下是《技能操作》（心理咨询师考试）科目的术语：指导，请解释其含义，把回复控制在48个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,24,情感表达,51,以下是《技能操作》（心理咨询师考试）科目的术语：情感表达，请解释其含义，把回复控制在51个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,25,自我开放,67,以下是《技能操作》（心理咨询师考试）科目的术语：自我开放，请解释其含义，把回复控制在67个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,26,内容表达,38,以下是《技能操作》（心理咨询师考试）科目的术语：内容表达，请解释其含义，把回复控制在38个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,27,影响性概述,48,以下是《技能操作》（心理咨询师考试）科目的术语：影响性概述，请解释其含义，把回复控制在48个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,28,反馈,72,以下是《技能操作》（心理咨询师考试）科目的术语：反馈，请解释其含义，把回复控制在72个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,29,发展心理咨询,69,以下是《技能操作》（心理咨询师考试）科目的术语：发展心理咨询，请解释其含义，把回复控制在69个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,30,健康心理咨询,89,以下是《技能操作》（心理咨询师考试）科目的术语：健康心理咨询，请解释其含义，把回复控制在89个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,31,临床心理评估,77,以下是《技能操作》（心理咨询师考试）科目的术语：临床心理评估，请解释其含义，把回复控制在77个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,32,领悟,115,以下是《技能操作》（心理咨询师考试）科目的术语：领悟，请解释其含义，把回复控制在115个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,33,支持,90,以下是《技能操作》（心理咨询师考试）科目的术语：支持，请解释其含义，把回复控制在90个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,34,反塑造,21,以下是《技能操作》（心理咨询师考试）科目的术语：反塑造，请解释其含义，把回复控制在21个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,35,移情,82,以下是《技能操作》（心理咨询师考试）科目的术语：移情，请解释其含义，把回复控制在82个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,36,负移情,88,以下是《技能操作》（心理咨询师考试）科目的术语：负移情，请解释其含义，把回复控制在88个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,37,正移情,158,以下是《技能操作》（心理咨询师考试）科目的术语：正移情，请解释其含义，把回复控制在158个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,38,反移情,50,以下是《技能操作》（心理咨询师考试）科目的术语：反移情，请解释其含义，把回复控制在50个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,39,阻抗,123,以下是《技能操作》（心理咨询师考试）科目的术语：阻抗，请解释其含义，把回复控制在123个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,40,特质性阻抗,41,以下是《技能操作》（心理咨询师考试）科目的术语：特质性阻抗，请解释其含义，把回复控制在41个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,41,动机性阻抗,56,以下是《技能操作》（心理咨询师考试）科目的术语：动机性阻抗，请解释其含义，把回复控制在56个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,42,一级获益（内部获益）,67,以下是《技能操作》（心理咨询师考试）科目的术语：一级获益（内部获益），请解释其含义，把回复控制在67个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,43,二级获益（外部获益）,115,以下是《技能操作》（心理咨询师考试）科目的术语：二级获益（外部获益），请解释其含义，把回复控制在115个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,44,多话/赘言,46,以下是《技能操作》（心理咨询师考试）科目的术语：多话/赘言，请解释其含义，把回复控制在46个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,45,沉默,44,以下是《技能操作》（心理咨询师考试）科目的术语：沉默，请解释其含义，把回复控制在44个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,46,创造性沉默,78,以下是《技能操作》（心理咨询师考试）科目的术语：创造性沉默，请解释其含义，把回复控制在78个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,47,自发性沉默,65,以下是《技能操作》（心理咨询师考试）科目的术语：自发性沉默，请解释其含义，把回复控制在65个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,48,依赖,49,以下是《技能操作》（心理咨询师考试）科目的术语：依赖，请解释其含义，把回复控制在49个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,49,自由联想,139,以下是《技能操作》（心理咨询师考试）科目的术语：自由联想，请解释其含义，把回复控制在139个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,50,释梦,90,以下是《技能操作》（心理咨询师考试）科目的术语：释梦，请解释其含义，把回复控制在90个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,51,放松训练,131,以下是《技能操作》（心理咨询师考试）科目的术语：放松训练，请解释其含义，把回复控制在131个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,52,角色扮演（行为排演）,90,以下是《技能操作》（心理咨询师考试）科目的术语：角色扮演（行为排演），请解释其含义，把回复控制在90个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,53,肯定性训练,129,以下是《技能操作》（心理咨询师考试）科目的术语：肯定性训练，请解释其含义，把回复控制在129个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,54,冲击疗法,123,以下是《技能操作》（心理咨询师考试）科目的术语：冲击疗法，请解释其含义，把回复控制在123个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,55,生物反馈法,215,以下是《技能操作》（心理咨询师考试）科目的术语：生物反馈法，请解释其含义，把回复控制在215个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,56,机体智慧,54,以下是《技能操作》（心理咨询师考试）科目的术语：机体智慧，请解释其含义，把回复控制在54个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,57,机体评估过程,19,以下是《技能操作》（心理咨询师考试）科目的术语：机体评估过程，请解释其含义，把回复控制在19个汉字左右。
人文与社会科学,《技能操作》（心理咨询师考试）,名词解释,58,不合理信念,50,以下是《技能操作》（心理咨询师考试）科目的术语：不合理信念，请解释其含义，把回复控制在50个汉字左右。
